question,answer,input_tokens,output_tokens,total_tokens,response_time_seconds,p99_processing_time,p95_processing_time,avg_processing_time,page_count,avg_time_per_page,p99_time_per_page,p95_time_per_page,tokens_per_page
Where can taxpayers find more information about the payroll tax credit for research activities?,"Taxpayers can find more information about the payroll tax credit at IRS.gov/ResearchPayrollTC. Additionally, they can refer to the line 16 instructions in the Instructions for Form 941, line 17 instructions in the Instructions for Form 943, or line 13 instructions in the Instructions for Form 944 for information on reducing their record of tax liability for this credit.",,,,,,,,,,,,
What resource is available for those affected by disasters according to the text?,"Disaster tax relief is available for those impacted by disasters. For more information about disaster relief, individuals can go to IRS.gov/DisasterTaxRelief.",,,,,,,,,,,,
How is the payroll tax credit for tax-exempt organizations affected by qualified disasters claimed?,"The payroll tax credit for certain tax-exempt organizations affected by qualified disasters is claimed on Form 5884-D, not on Form 941, Form 943, or Form 944. Form 5884-D is filed after the Form 941 for the quarter, Form 943 for the year, or Form 944 for the year for which the credit is being claimed has been filed.",,,,,,,,,,,,
What types of withholding tables are mentioned for 2025?,"The text mentions two types of withholding tables for 2025: the Percentage Method and Wage Bracket Method withholding tables, along with employer instructions on how to figure withholding.",,,,,,,,,,,,
Where can employers find the 2025 withholding tables and instructions for calculating employee withholding?,"Employers can find the 2025 Percentage Method and Wage Bracket Method withholding tables, along with instructions on how to figure employee withholding, in Publication 15-T, Federal Income Tax Withholding Methods, available at IRS.gov/Pub15T.",,,,,,,,,,,,
What is the current status of the moving expense reimbursement exclusion according to the text?,"P.L. 115-97 suspends the exclusion for qualified moving expense reimbursements from employee income for tax years beginning after 2017 and before 2026. However, the exclusion still applies to members of the U.S. Armed Forces on active duty who move due to a permanent change of station under military orders.",,,,,,,,,,,,
How did P.L. 115-97 affect withholding rates on supplemental wages?,"P.L. 115-97 lowered the withholding rates on supplemental wages for tax years beginning after 2017 and before 2026, though the text doesn't provide the specific new rates.",,,,,,,,,,,,
What changes did P.L. 115-97 make to withholding rates for supplemental wages and backup withholding?,P.L. 115-97 lowered the withholding rates on supplemental wages for tax years beginning after 2017 and before 2026. It also lowered the backup withholding rate to 24% for the same period (tax years beginning after 2017 and before 2026).,,,,,,,,,,,,
What is the purpose of the certification program for professional employer organizations (PEOs)?,"The certification program for PEOs was established by the Stephen Beck, Jr., Achieving a Better Life Experience (ABLE) Act of 2014. It's a voluntary program that requires certified professional employer organizations (CPEOs) to meet various requirements described in sections 3511 and 7705 and related published guidance. The certification may affect the employment tax liabilities of both the CPEO and its customers.",,,,,,,,,,,,
How is a CPEO treated for employment tax purposes?,A CPEO is generally treated for employment tax purposes as the employer of any individual who performs services for a customer of the CPEO and is covered by a contract described in section 7705(e)(2) between the CPEO and the customer.,,,,,,,,,,,,
What is a CPEO and what does it do for customers?,"A CPEO (Certified Professional Employer Organization) is an organization that can pay wages and other compensation to individuals performing services for a customer when covered by a CPEO contract as described in section 7705(e)(2). The CPEO handles payroll duties for its customers, including paying wages to individuals working for the customer.",,,,,,,,,,,,
How does an organization become a CPEO?,"To become a CPEO, an organization must apply through the IRS Online Registration System. Additional information about becoming a CPEO can be found at IRS.gov/CPEO, and in Revenue Procedure 2023-18, which is available at IRS.gov/irb/2023-13_IRB#REV-PROC-2023-18.",,,,,,,,,,,,
What responsibilities do employers retain when outsourcing payroll duties?,"Even when employers outsource payroll and related tax duties to a third party (such as a payroll service provider or reporting agent), they remain responsible for ensuring that tax returns are filed and deposits and payments are made. The employer maintains responsibility if the third party fails to perform any required action.",,,,,,,,,,,,
What is the general rule regarding a CPEO's status when paying wages under a CPEO contract?,"When a CPEO (Certified Professional Employer Organization) pays wages and other compensation to an individual performing services for you, and those services are covered by a CPEO contract, the CPEO is generally treated as the employer, but only for wages and other compensation paid to the individual by the CPEO.",,,,,,,,,,,,
What filing requirement applies to approved section 3504 agents and CPEOs when submitting aggregate forms?,"Approved section 3504 agents and CPEOs must complete Schedule R (Form 941), Allocation Schedule for Aggregate Form 941 Filers, or Schedule R (Form 943), Allocation Schedule for Aggregate Form 943 Filers, as applicable, when filing an aggregate Form 941 or Form 943.",,,,,,,,,,,,
Can a client company still be liable for employment taxes when using a CPEO?,"Yes, with respect to certain employees covered by a CPEO contract, the client company may also be treated as an employer of the employees and, consequently, may also be liable for federal employment taxes imposed on wages and other compensation paid by the CPEO to such employees.",,,,,,,,,,,,
How does an agent request approval to act on behalf of an employer with the IRS?,"To request approval to act as an agent for an employer, the agent files Form 2678 with the IRS, unless they are a state or local government agency acting as an agent under the special procedures provided in Revenue Procedure 2013-39.",,,,,,,,,,,,
What is the process for an organization to become a Certified Professional Employer Organization (CPEO)?,"To become a CPEO, the organization must apply through the IRS Online Registration System at IRS.gov/CPEO. Once approved, CPEOs file Form 8973, Certified Professional Employer Organization/Customer Reporting Agreement, to notify the IRS that they've started or ended a service contract with a client or customer.",,,,,,,,,,,,
What filing requirements do CPEOs have compared to other third-party payers?,"CPEOs must generally file Form 941 or Form 943 and the applicable Schedule R electronically. Other third-party payers that file an aggregate quarterly Form 941 or annual Form 943, such as non-certified PEOs, must complete and file the applicable Schedule R if they have clients that are claiming benefits. For more information about a CPEO's electronic filing requirements, see Revenue Procedure 2023-18.",,,,,,,,,,,,
Who is required to complete and file Schedule R when claiming employment tax credits?,"Non-certified PEOs must complete and file the applicable Schedule R if they have clients that are claiming any employment tax credit, such as the qualified small business payroll tax credit for increasing research activities.",,,,,,,,,,,,
What is Schedule R (Form 940) and who must complete it?,"Schedule R (Form 940) is an Allocation Schedule for Aggregate Form 940 Filers. It must be completed by approved section 3504 agents and CPEOs when filing an aggregate Form 940, which is the Employer's Annual Federal Unemployment (FUTA) Tax Return.",,,,,,,,,,,,
How can an agent request approval to act on behalf of home care service recipients?,"To request approval to act as an agent on behalf of home care service recipients, the agent must file Form 2678 with the IRS, unless they are a state or local government agency acting as an agent under the special procedures provided in Revenue Procedure 2013-39.",,,,,,,,,,,,
What are CPEOs required to file regarding their service contracts with clients?,"CPEOs (Certified Professional Employer Organizations) file Form 8973 to notify the IRS that they've started or ended a service contract with a client or customer. Additionally, CPEOs must generally file Form 940 and Schedule R (Form 940) electronically, as specified in Revenue Procedure 2023-18.",,,,,,,,,,,,
How can qualified tax-exempt organizations claim the work opportunity tax credit for hiring qualified veterans?,Qualified tax-exempt organizations that hire eligible unemployed veterans can claim the work opportunity tax credit against their payroll tax liability using Form 5884-C. More information about this credit is available on the IRS website at IRS.gov/WOTC.,,,,,,,,,,,,
What does Notice 2014-7 establish regarding Medicaid waiver payments?,"Notice 2014-7 provides that certain Medicaid waiver payments are excludable from income for federal income tax purposes. This notice is available at IRS.gov/irb/2014-04_IRB#NOT-2014-7, and additional information, including questions and answers related to the notice, can be found at IRS.gov/MedicaidWaiverPayments.",,,,,,,,,,,,
How are disability payments related to terrorist attacks treated for tax purposes?,Disability payments for injuries incurred as a direct result of a terrorist attack directed against the United States (or its allies) aren't included in income. No federal income tax should be withheld from these payments since federal income tax withholding is only required when a payment is includible in income.,,,,,,,,,,,,
What is the process for voluntary withholding on Alaska Native Corporation (ANC) distributions?,"A shareholder of an Alaska Native Corporation (ANC) may request voluntary income tax withholding on dividends and other distributions paid by an ANC by giving the ANC a completed Form W-4V. More information is available in Notice 2013-77, 2013-50 I.R.B. 632, which can be accessed at IRS.gov/irb/2013-50_IRB#NOT-2013-77.",,,,,,,,,,,,
How is marriage defined for federal tax purposes?,"For federal tax purposes, a marriage of two individuals is recognized if the marriage is recognized by the state or territory of the United States in which the marriage is entered into, regardless of legal residence.",,,,,,,,,,,,
"For federal tax purposes, when is a marriage between two individuals recognized if it was performed in a foreign jurisdiction?","For federal tax purposes, a marriage performed in a foreign jurisdiction is recognized if the relationship would be recognized as marriage under the laws of at least one state or territory of the United States, regardless of legal residence.",,,,,,,,,,,,
Are registered domestic partnerships or civil unions considered marriages for federal tax purposes?,"No, individuals who have entered into a registered domestic partnership, civil union, or other similar relationship that isn't denominated as a marriage under the law of the state or territory of the United States where such relationship was entered into aren't lawfully married for federal tax purposes, regardless of legal residence.",,,,,,,,,,,,
How are qualified differential wage payments to individuals serving in the U.S. Armed Forces treated for tax purposes?,"Qualified differential wage payments made by employers to individuals serving in the U.S. Armed Forces are subject to income tax withholding but not social security, Medicare, or FUTA tax.",,,,,,,,,,,,
What is required before an employer can file Form 944 instead of quarterly Forms 941?,"An employer must receive written notice from the IRS to file Form 944. Even if they believe their employment taxes will be $1,000 or less for the calendar year, they must first contact the IRS during the first calendar quarter of the tax year to request this change, and then wait for written authorization before filing Form 944.",,,,,,,,,,,,
When must employers contact the IRS if they want to switch from quarterly Forms 941 to annual Form 944?,"Employers must contact the IRS during the first calendar quarter of the tax year to request to file Form 944 instead of quarterly Forms 941. This timing is essential, as requests must be made early in the tax year before filing begins.",,,,,,,,,,,,
Can employers who have been instructed to file Form 944 switch back to filing quarterly Forms 941?,"Yes, employers can request to file quarterly Forms 941 instead of an annual Form 944. If they received notice from the IRS to file Form 944 but prefer to file quarterly Forms 941, they must contact the IRS during the first calendar quarter of the tax year and receive written notice from the IRS approving the change.",,,,,,,,,,,,
"How can an employer correct errors on a previously filed Form 941, Form 943, or Form 944?","To correct errors on previously filed forms, employers must use the corresponding correction form: Form 941-X for errors on Form 941, Form 943-X for errors on Form 943, and Form 944-X for errors on Form 944. These correction forms are filed separately from the original forms.",,,,,,,,,,,,
"What are Forms 941-X, 943-X, and 944-X used for by employers?","Forms 941-X, 943-X, and 944-X are used by employers to claim refunds or abatements of employment taxes, rather than using Form 843. These forms are submitted separately from the original Forms 941, 943, and 944.",,,,,,,,,,,,
What must an employer do to file quarterly Forms 941 instead of Form 944?,"An employer must receive written notice from the IRS before they may file quarterly Forms 941 instead of Form 944. For more information on requesting to file quarterly Forms 941, including methods and deadlines for making such a request, employers should refer to the Instructions for Form 944.",,,,,,,,,,,,
"What must employers do regarding Form 940 and Forms 941, 943, or 944 during periods when no wages are paid?","Employers must continue to file Form 940 and Forms 941, Form 943, or Form 944, even for periods during which no wages were paid, unless they've filed a ""final"" form or are ""seasonal"" employers (Form 941 only). The IRS encourages electronic filing of these ""zero wage"" forms.",,,,,,,,,,,,
How must federal tax deposits be made according to the text?,"Federal tax deposits must be made by electronic funds transfer (EFT). Generally, this is done using the Electronic Federal Tax Payment System (EFTPS), though employers can also arrange for a tax professional, financial institution, payroll service, or other trusted third party to make electronic deposits on their behalf.",,,,,,,,,,,,
What options do employers have if they don't want to use EFTPS directly?,"If employers don't want to use EFTPS directly, they have several options: they can arrange for their tax professional, financial institution, payroll service, or other trusted third party to make electronic deposits on their behalf. Additionally, they may arrange for their financial institution to initiate a same-day wire payment on their behalf.",,,,,,,,,,,,
What is EFTPS and is there a cost to use it?,"EFTPS (Electronic Federal Tax Payment System) is a free service provided by the Department of the Treasury. While EFTPS itself is free, services provided by tax professionals, financial institutions, payroll services, or other third parties may charge a fee.",,,,,,,,,,,,
How can someone get more information about EFTPS or enroll in the service?,"To get more information about EFTPS or to enroll, individuals can visit EFTPS.gov or call 800-555-4477, 800-244-4829 (Spanish), or 303-967-5916 (toll call). Additional information is also available in Publication 966. For those who are deaf, hard of hearing, or have a speech disability, they can use Telecommunications Relay Services (TRS) by dialing 711 and then providing the TRS assistant the 800-555-4477 number or 800-733-4829.",,,,,,,,,,,,
What tax requirements apply to residents of the Philippines working in the Commonwealth of the Northern Mariana Islands (CNMI)?,"Employers must withhold and pay social security and Medicare taxes on wages and other compensation paid to residents of the Philippines who don't hold an H-2 status for services performed as employees in the CNMI, unless those workers are eligible for exemption from social security.",,,,,,,,,,,,
What tax requirements apply to workers performing services as employees in the CNMI?,"Workers performing services as employees in the CNMI are subject to social security and Medicare taxes unless they are eligible for exemption under exceptions listed in section 15. More information can be found in Announcement 2012-43, 2012-51 I.R.B. 723.",,,,,,,,,,,,
What agreement exists between the U.S. Treasury Department and the CNMI Division of Revenue and Taxation regarding federal employers?,"In December 2006, the U.S. Treasury Department and the CNMI Division of Revenue and Taxation entered into an agreement under 5 U.S.C. section 5517. This agreement requires all federal employers (including the Department of Defense) to withhold CNMI income taxes instead of federal income taxes and deposit them with the CNMI Treasury for employees subject to CNMI taxes whose regular place of federal employment is in the CNMI.",,,,,,,,,,,,
What reporting requirements do federal employers in the CNMI have?,"Federal employers in the CNMI are required to file quarterly and annual reports with the CNMI Division of Revenue and Taxation. They also have specific requirements for completing Form W-2. For questions about these requirements, employers should contact the CNMI Division of Revenue and Taxation.",,,,,,,,,,,,
What does Publication 5146 explain regarding employment tax examinations?,"Publication 5146 explains how the IRS selects employment tax returns for examination, what happens during an exam, what options employers have in responding to exam results, including appeal rights. It also includes information on worker classification issues and tip exams.",,,,,,,,,,,,
What electronic filing and payment options are available for businesses according to the text?,"Businesses can file and pay federal taxes electronically using e-file and EFTPS (Electronic Federal Tax Payment System). E-file information is available at IRS.gov/EmploymentEfile, while EFTPS can be accessed at EFTPS.gov or by calling EFTPS Customer Service at various provided phone numbers.",,,,,,,,,,,,
How can people with hearing or speech disabilities contact EFTPS?,"People who are deaf, hard of hearing, or have a speech disability can contact EFTPS using TRS (Telecommunications Relay Service) by dialing 711 and then providing the TRS assistant either the 800-555-4477 number or 800-733-4829.",,,,,,,,,,,,
How can employers electronically file Forms W-2 and related wage statements?,"Employers can electronically file Forms W-2, Wage and Tax Statement, including Forms W-2AS, W-2CM, W-2GU, W-2VI, and Forms 499R-2/W-2PR by going to SSA.gov/employer. Some employers may be required to file Forms W-2 electronically.",,,,,,,,,,,,
Who should employers contact if they experience problems with electronic filing of wage statements?,"If employers experience problems filing electronically, they should contact the Social Security Administration (SSA) at 800-772-6270. They can also speak with the SSA's Regional Employer Services Liaison Officers by visiting SSA.gov/employer/wage_reporting_specialists.htm. These officers provide assistance with all questions about the SSA's payroll reporting processes and applications.",,,,,,,,,,,,
What is required when filing tax returns or paying federal taxes electronically?,"When filing tax returns or paying federal taxes electronically, a valid employer identification number (EIN) is required at the time the return is filed or the payment is made. If a valid EIN isn't provided, the return may not be processed properly.",,,,,,,,,,,,
What happens if a valid EIN is not provided when filing a return or making a payment?,"If a valid EIN isn't provided, the return or payment won't be processed, which may result in penalties. The text directs readers to section 1 for information about applying for an EIN.",,,,,,,,,,,,
How can electronic funds withdrawal (EFW) be used for employment tax payments?,"Electronic funds withdrawal (EFW) can be used to pay the balance due on an employment tax return in a single step when filing electronically, either using tax preparation software or through a tax professional. However, EFW should not be used to make federal tax deposits.",,,,,,,,,,,,
"What payment methods are mentioned for employment tax returns, and what restriction applies to both?","The text mentions two payment methods: electronic funds withdrawal (EFW) and credit or debit card payments. For both methods, there is an important restriction - neither should be used to make federal tax deposits. Credit or debit card payments will incur a processing fee charged by the payment processor.",,,,,,,,,,,,
What payment options are available for employers who cannot pay their full tax amount when filing employment tax returns?,"Employers who cannot pay the full amount of tax owed when filing their employment tax return may be eligible to apply for an online installment agreement. More information can be found in the instructions for employment tax returns or at IRS.gov/OPA. Additionally, taxes can be paid using a credit or debit card, with more information available at IRS.gov/PayByCard.",,,,,,,,,,,,
What Spanish-language resources are available for employers and employees from the IRS?,"The IRS offers many forms and instructions in Spanish-language versions for employers and employees. Examples include Form 941(sp), Form 944(sp), Form SS-4(sp), Form W-4(sp), and Form W-9(sp). Additionally, Publication 15 is available in Spanish, and more Spanish-language forms can be found at IRS.gov/SpanishForms.",,,,,,,,,,,,
What must employers do to verify a new employee's eligibility to work in the United States?,"Employers must verify that each new employee is legally eligible to work in the United States, including American Samoa, Guam, the CNMI, the U.S. Virgin Islands (USVI), and Puerto Rico. This verification process includes completing the U.S. Citizenship and Immigration Services (USCIS) Form I-9, Employment Eligibility Verification.",,,,,,,,,,,,
"What form must employers complete to verify employment eligibility in the United States, Puerto Rico, and U.S. Virgin Islands?","Employers must complete the U.S. Citizenship and Immigration Services (USCIS) Form I-9, Employment Eligibility Verification. This form can be obtained at USCIS.gov/Forms, and more information is available at USCIS.gov/I-9-Central or by calling 800-375-5283 or 800-767-1833 (TTY).",,,,,,,,,,,,
What tools are available to employers for verifying employee information?,"Employers can use the Social Security Number Verification Service (SSNVS) at SSA.gov/employer/ssnv.htm to verify that an employee name matches a Social Security Number. They can also use E-Verify at E-Verify.gov to confirm the employment eligibility of newly hired employees. However, it's noted that a person may have a valid SSN but not be authorized to work in the United States.",,,,,,,,,,,,
What are the requirements for new hire reporting across the United States?,All 50 states and most territories require employers to report any new employee to a designated state new hire registry. A new employee is defined as someone who hasn't previously been employed by the employer or was previously employed but has been separated from prior employment for at least 60 consecutive days. Many states accept a copy of Form W-4 with employer information added. More information is available at the Office of Child Support Enforcement website at acf.hhs.gov/programs/css/employers.,,,,,,,,,,,,
What form must employers file to report wages paid to employees?,Employers must file Forms W-2 to report wages paid to employees.,,,,,,,,,,,,
"What information should employers record from new employees, and what should they do if an employee can't provide a social security card?","Employers should record each new employee's name and social security number (SSN) from their social security card. If an employee can't provide their social security card, the employer should verify their SSN and eligibility for employment. Any employee without a social security card should apply for one.",,,,,,,,,,,,
When is an employer required to file Form 1099-NEC?,"An employer is required to file Form 1099-NEC, Nonemployee Compensation, to report payments of $600 or more to persons not treated as employees (for example, independent contractors) for services performed for their trade or business.",,,,,,,,,,,,
What forms should be used to report payments to independent contractors versus employees?,"Forms 1099 should be used to report payments to persons not treated as employees (such as independent contractors) for services performed for your trade or business. Form W-2 should be used to report wages and other compensation paid to employees, not Forms 1099.",,,,,,,,,,,,
What resource does the IRS provide for answering questions about reporting on information returns?,"The IRS operates the Technical Services Operation (TSO) to answer questions about reporting on Forms W-2, W-3, and 1099, and other information returns. This service can be reached by calling 866-455-7438 (toll free) or 304-263-8700 (toll call), or by emailing mccirp@irs.gov.",,,,,,,,,,,,
What precaution should be taken when contacting the Technical Services Operation via email?,"When contacting the Technical Services Operation (TSO) via email, taxpayer identification numbers (TINs) or attachments should not be included because email isn't secure.",,,,,,,,,,,,
Which U.S. territories are exempt from federal income tax withholding requirements?,"American Samoa, Guam, the CNMI (Commonwealth of Northern Mariana Islands), the USVI (U.S. Virgin Islands), and Puerto Rico are exempt from federal income tax withholding requirements, unless they have employees who are subject to U.S. income tax withholding.",,,,,,,,,,,,
What document must employers use to determine how much federal income tax to withhold from employee wages?,Employers must withhold federal income tax according to the employee's Form W-4 and the correct withholding table in Publication 15-T.,,,,,,,,,,,,
Are farm workers' wages subject to federal income tax withholding?,"Yes, farm operators and crew leaders must withhold federal income tax from farmworkers' wages if those wages are subject to social security and Medicare taxes.",,,,,,,,,,,,
What types of income must be reported on Form 945 for nonpayroll federal income tax withholding?,"Nonpayroll federal income tax withholding must be reported on Form 945 and includes pensions (including distributions from tax-favored retirement plans like 401(k), 403(b), and governmental 457(b) plans), annuities, IRA distributions, military retirement, gambling winnings, Indian gaming profits, certain government payments with voluntary withholding, dividends and distributions by an ANC with voluntary withholding, and payments subject to backup withholding.",,,,,,,,,,,,
How are deposits for payroll and nonpayroll withholding handled?,"Separate deposits are required for payroll withholding (reported on Form 941, Form 943, or Form 944) and nonpayroll withholding (reported on Form 945). These must be deposited separately rather than combined.",,,,,,,,,,,,
How are distributions from nonqualified pension plans and deferred compensation plans treated for tax purposes?,"Distributions to participants from some nonqualified pension plans and deferred compensation plans (including section 457(b) plans of tax-exempt organizations) are treated as wages and are reported on Form W-2, rather than being handled as nonpayroll withholding.",,,,,,,,,,,,
How are distributions from deferred compensation plans to beneficiaries of deceased employees reported and taxed?,"Distributions from deferred compensation plans to a beneficiary or estate of a deceased employee aren't considered wages and are reported on Forms 1099-R (Distributions From Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contracts, etc.). Any income tax withheld from these distributions must be reported on Form 945, not on Forms 941, 943, or 944.",,,,,,,,,,,,
"What is the backup withholding rate, and when must it be applied?",The backup withholding rate is 24%. It must generally be applied to certain taxable payments if the payee fails to furnish the payer with their correct Taxpayer Identification Number (TIN).,,,,,,,,,,,,
What types of payments are subject to backup withholding?,"Payments subject to backup withholding include interest, dividends, patronage dividends, rents, royalties, commissions, nonemployee compensation, payments made in settlement of payment card or third-party network transactions, and certain other payments made in the course of trade or business. Additionally, transactions by brokers and barter exchanges and certain payments made by fishing boat operators are subject to backup withholding.",,,,,,,,,,,,
What forms must employers file annually according to the text?,"According to the text, employers must annually file Form 943 if required (paying tax with the return if not required to deposit), and File Form 944 if required (also paying tax with the return if not required to deposit). They must also reconcile Forms 941 (or Form 943 or Form 944) with Forms W-2 and W-3.",,,,,,,,,,,,
What are employers required to do when hiring new employees?,"When hiring new employees, employers must verify work eligibility of new employees, record employees' names and Social Security Numbers (SSNs) from social security cards, and ask employees for Form W-4.",,,,,,,,,,,,
What payroll tax responsibilities do employers have each payday?,"Each payday, employers must withhold federal income tax based on each employee's Form W-4 and withhold the employee's share of social security and Medicare taxes. They also need to deposit withheld income tax, though the text cuts off before completing this instruction.",,,,,,,,,,,,
When are the due dates for depositing FUTA tax?,"FUTA tax must be deposited quarterly (by April 30, July 31, October 31, and January 31) if the undeposited amount is over $500.",,,,,,,,,,,,
What forms must be provided to employees and when?,"Employers must furnish each employee a Form W-2 by January 10. Additionally, employers must furnish each payee a Form 1099 (for example, Form 1099-NEC) by January 10.",,,,,,,,,,,,
"What types of taxes are included in Forms 941, 943, or 944 with Deposit?","The forms include withheld income tax, withheld and employer social security taxes, and withheld and employer Medicare taxes. The due date for deposit generally depends on the deposit schedule (monthly or semiweekly).",,,,,,,,,,,,
What types of payments are exempt from backup withholding?,"Backup withholding doesn't apply to wages, pensions, annuities, IRAs (including simplified employee pension (SEP) and SIMPLE retirement plans), section 404(k) distributions from an employee stock ownership plan (ESOP), medical savings accounts (MSAs), health savings accounts (HSAs), long-term-care benefits, or real estate transactions.",,,,,,,,,,,,
How long must employment tax records be kept and what information should they include?,"Employment tax records must be kept for at least 4 years and should be available for IRS review. These records should include: your EIN, amounts and dates of all wage, annuity, and pension payments, amounts of tips reported by employees, records of allocated tips, the fair market value (FMV) of in-kind wages paid, and names, addresses, SSNs, and occupations of employees and recipients.",,,,,,,,,,,,
What form is used to request a Taxpayer Identification Number (TIN) from payees?,"Form W-9 is used to request payees to furnish a TIN. This form must be used when payees need to certify that the number furnished is correct, or when payees must certify that they're not subject to backup withholding or are exempt from backup withholding.",,,,,,,,,,,,
