question,answer,input_tokens,output_tokens,total_tokens,response_time_seconds,p99_processing_time,p95_processing_time,avg_processing_time,page_count,avg_time_per_page,p99_time_per_page,p95_time_per_page,tokens_per_page
What is the time period for which the credit for qualified sick and family leave wages can be claimed?,"The credit is limited to leave taken after March 31, 2020, and before October 1, 2021, and may no longer be claimed on Form 941, Form 943, or Form 944.",,,,,,,,,,,,
Which legislation enacted and amended the credit for qualified sick and family leave wages?,"The credit was initially enacted under the Families First Coronavirus Response Act (FFCRA), then amended and extended by the COVID-related Tax Relief Act of 2020, and further provisions were enacted under the American Rescue Plan Act of 2021 (the ARP).",,,,,,,,,,,,
Can employers still claim the credit for qualified sick and family leave wages in 2024 or 2025?,"Yes, employers that pay qualified sick and family leave wages in 2024 or 2025 for leave taken during the eligible period (after March 31, 2020, and before October 1, 2021) are still eligible to claim the credit, even though the credit has expired. However, effective for tax periods beginning after December 31, 2023, the lines used to claim this credit have been removed from Form 941.",,,,,,,,,,,,
Why have the lines to claim credit for qualified sick and family leave wages been removed from certain tax forms?,"The lines have been removed from Form 941, Form 943, and Form 944 because it would be extremely rare for an employer to pay wages after December 31, 2023, for qualified sick and family leave taken after March 31, 2020, and before October 1, 2021.",,,,,,,,,,,,
How should employers claim the credit for qualified sick and family leave wages if they pay these wages in 2024 or 2025?,"Employers should file Form 941-X after filing Form 941, Form 943-X, or Form 944-X to claim the credit for qualified sick and family leave wages paid in 2024 or 2025 for an earlier applicable leave period.",,,,,,,,,,,,
"What might happen if an employer files Form 941-X, Form 943-X, or Form 944-X before filing the original return?","Filing a Form 941-X, Form 943-X, or Form 944-X before filing a Form 941 for the quarter, or Form 943 or Form 944 for the year, may result in errors or delays in processing the X form.",,,,,,,,,,,,
"What is the maximum amount a qualified small business can claim as a payroll tax credit for increasing research activities after December 31, 2022?","According to the text, the Inflation Reduction Act of 2022 (the IRA) increases the election amount to $500,000 for tax years beginning after December 31, 2022. Before this date, the limit was $250,000.",,,,,,,,,,,,
When must a small business make the payroll tax credit election for research activities?,"The payroll tax credit election must be made on or before the due date of the originally filed income tax return, including extensions.",,,,,,,,,,,,
Which forms are available in Spanish versions according to the text?,"According to the text, Form 941, Form 943, and Form 944 are available in Spanish versions, referred to as Form 941 (sp), Form 943 (sp), and Form 944 (sp).",,,,,,,,,,,,
How is the Qualified Small Business Payroll Tax Credit for Increasing Research Activities applied starting in 2023?,"Starting in the first quarter of 2023, the payroll tax credit is first used to reduce the employer share of social security tax up to $250,000 per quarter, and any remaining credit reduces the employer share of Medicare tax for the quarter. Any credit remaining after reducing both the employer share of social security and Medicare taxes is carried forward to the next quarter.",,,,,,,,,,,,
What forms are required to claim the payroll tax credit for increasing research activities?,"The amount from Form 6765 must be reported on Form 8974 (Qualified Small Business Payroll Tax Credit for Increasing Research Activities). The amount from Form 8974, line 12, or if applicable, line 17, is then reported on Form 941, Form 943, or Form 944.",,,,,,,,,,,,
Where can employers find additional information about the payroll tax credit for research activities?,"Employers can find more information about the payroll tax credit at IRS.gov/ResearchPayrollTC. They can also refer to the line 16 instructions in the Instructions for Form 941, line 17 instructions in the Instructions for Form 943, or line 13 instructions in the Instructions for Form 944 for information on reducing their record of tax liability for this credit.",,,,,,,,,,,,
Where can taxpayers find information about disaster tax relief?,"According to the text, taxpayers can find information about disaster tax relief by going to IRS.gov/DisasterTaxRelief.",,,,,,,,,,,,
How is the payroll tax credit for tax-exempt organizations affected by qualified disasters claimed?,"The payroll tax credit for certain tax-exempt organizations affected by qualified disasters is claimed on Form 5884-D, not on Form 941, Form 943, or Form 944. This form is filed after the original tax form for the period has been filed.",,,,,,,,,,,,
What type of disasters does the payroll tax credit for certain tax-exempt organizations apply to?,"According to the text, the payroll tax credit for certain tax-exempt organizations applies to ""certain qualified disasters not related to COVID-19"" as specified in Section 303(d) of the Taxpayer Certainty and Disaster Tax Relief Act of 2020.",,,,,,,,,,,,
Where can employers find the 2025 withholding tables and instructions for figuring employee withholding?,"Employers can find the 2025 Percentage Method and Wage Bracket Method withholding tables, along with instructions on how to figure employee withholding, in Publication 15-T, Federal Income Tax Withholding Methods, available at IRS.gov/Pub15T.",,,,,,,,,,,,
What is the current status of the exclusion for qualified moving expense reimbursements?,P.L. 115-97 suspends the exclusion for qualified moving expense reimbursements from an employee's income for tax years beginning after 2017 and before 2026. The exclusion remains available only for members of the U.S. Armed Forces on active duty who move because of a permanent change of station due to a military order.,,,,,,,,,,,,
How did P.L. 115-97 affect withholding rates on supplemental wages?,P.L. 115-97 lowered the withholding rates on supplemental wages for tax years beginning after 2017 and before 2026.,,,,,,,,,,,,
What changes did P.L. 115-97 make to withholding rates?,P.L. 115-97 lowered the withholding rates on supplemental wages for tax years beginning after 2017 and before 2026. It also lowered the backup withholding rate to 24% for the same period.,,,,,,,,,,,,
What is the purpose of the certification program for professional employer organizations (PEOs)?,"The certification program for PEOs was established by the Stephen Beck, Jr., Achieving a Better Life Experience (ABLE) Act of 2014. It's a voluntary program that requires certified professional employer organizations (CPEOs) to meet various requirements described in sections 3511 and 7705 and related published guidance.",,,,,,,,,,,,
How does certification as a CPEO affect employment tax responsibilities?,Certification as a CPEO may affect the employment tax liabilities of both the CPEO and its customers. A CPEO is generally treated for employment tax purposes as the employer of any individual who performs services for a customer of the CPEO and is covered by a contract described in section 7705(e)(2) between the CPEO and the customer.,,,,,,,,,,,,
What is a CPEO and how does it function for customers?,"A CPEO (Certified Professional Employer Organization) is an organization that can pay wages and other compensation to individuals performing services for a CPEO customer, but only when the individual is covered by a contract described in section 7705(e)(2) between the CPEO and the customer (CPEO contract).",,,,,,,,,,,,
How can an organization become a CPEO?,"To become a CPEO, an organization must apply through the IRS Online Registration System. Additional information and application procedures can be found at IRS.gov/CPEO, and in Revenue Procedure 2023-18, 2023-13 I.R.B. 605.",,,,,,,,,,,,
What responsibility does an employer retain when outsourcing payroll duties?,"When outsourcing payroll duties, employers remain responsible for ensuring that tax returns are filed and deposits and payments are made, even if they contract with a third party to perform these acts. The employer remains responsible if the third party fails to perform any required action.",,,,,,,,,,,,
What is the general rule regarding CPEOs paying wages to individuals performing services for you?,"If a CPEO (Certified Professional Employer Organization) pays wages and other compensation to an individual performing services for you, and the services are covered by a CPEO contract, then the CPEO is generally treated as the employer, but only for wages and other compensation paid to the individual by the CPEO.",,,,,,,,,,,,
What must approved section 3504 agents and CPEOs complete when filing aggregate forms?,"Approved section 3504 agents and CPEOs must complete Schedule R (Form 941), Allocation Schedule for Aggregate Form 941 Filers, or Schedule R (Form 943), Allocation Schedule for Aggregate Form 943 Filers, as applicable, when filing an aggregate Form 941 or Form 943.",,,,,,,,,,,,
Can a company still be liable for federal employment taxes when using a CPEO?,"Yes, with respect to certain employees covered by a CPEO contract, you may also be treated as an employer of the employees and, consequently, may also be liable for federal employment taxes imposed on wages and other compensation paid by the CPEO to such employees.",,,,,,,,,,,,
How does an agent get approved by the IRS under section 3504 of the Internal Revenue Code?,"To request approval to act as an agent for an employer, the agent files Form 2678 with the IRS, unless they are a state or local government agency acting as an agent under special procedures provided in Revenue Procedure 2013-39.",,,,,,,,,,,,
What is the process for an organization to become a CPEO?,"To become a Certified Professional Employer Organization (CPEO), the organization must apply through the IRS Online Registration System at IRS.gov/CPEO. CPEOs must also file Form 8973, Certified Professional Employer Organization/Customer Reporting Agreement, to notify the IRS when they've started or ended a service contract with a client or customer.",,,,,,,,,,,,
What filing requirements do CPEOs and other third-party payers have?,"CPEOs must generally file Form 941 or Form 943 and the applicable Schedule R electronically, with more information about electronic filing requirements available in Revenue Procedure 2023-18. Other third-party payers that file an aggregate quarterly Form 941 or annual Form 943, such as non-certified PEOs, must complete and file the applicable Schedule R if they have clients that are claiming.",,,,,,,,,,,,
Who must complete and file Schedule R when claiming employment tax credits?,"Non-certified PEOs (Professional Employer Organizations) must complete and file the applicable Schedule R if they have clients that are claiming any employment tax credit, such as the qualified small business payroll tax credit for increasing research activities.",,,,,,,,,,,,
What form must approved section 3504 agents and CPEOs complete when filing an aggregate Form 940?,"Approved section 3504 agents and CPEOs must complete Schedule R (Form 940), Allocation Schedule for Aggregate Form 940 Filers, when filing an aggregate Form 940, Employer's Annual Federal Unemployment (FUTA) Tax Return.",,,,,,,,,,,,
Who can file aggregate Forms 940 according to the text?,"Aggregate Forms 940 can be filed by agents acting on behalf of home care service recipients who receive home care services through a program administered by a federal, state, or local government, and by CPEOs (Certified Professional Employer Organizations) approved by the IRS under section 7705.",,,,,,,,,,,,
What are CPEOs required to file regarding their client relationships?,CPEOs (Certified Professional Employer Organizations) approved by the IRS under section 7705 are required to file Form 8973 to notify the IRS that they've started or ended a service contract with a client or customer. They must also generally file Form 940 and Schedule R (Form 940) electronically.,,,,,,,,,,,,
What tax benefit is available to qualified tax-exempt organizations that hire eligible unemployed veterans?,Qualified tax-exempt organizations that hire eligible unemployed veterans may be able to claim the work opportunity tax credit against their payroll tax liability using Form 5884-C.,,,,,,,,,,,,
How are Medicaid waiver payments treated for federal income tax purposes?,"According to Notice 2014-7, certain Medicaid waiver payments are excludable from income for federal income tax purposes. More information, including questions and answers related to Notice 2014-7, can be found at IRS.gov/MedicaidWaiverPayments.",,,,,,,,,,,,
How are disability payments from terrorist attacks treated for tax purposes?,Disability payments for injuries incurred as a direct result of a terrorist attack directed against the United States (or its allies) aren't included in income. No federal income tax should be withheld from these payments.,,,,,,,,,,,,
What is the process for voluntary withholding on Alaska Native Corporation distributions?,A shareholder of an Alaska Native Corporation (ANC) may request voluntary income tax withholding on dividends and other distributions by completing Form W-4V and giving it to the ANC. More information is available in Notice 2013-77.,,,,,,,,,,,,
How is marriage defined for federal tax purposes?,"A marriage of two individuals is recognized for federal tax purposes if the marriage is recognized by the state or territory of the United States in which the marriage is entered into, regardless of legal residence.",,,,,,,,,,,,
How are marriages from foreign jurisdictions recognized for federal tax purposes?,"Two individuals who enter into a relationship that is denominated as marriage under the laws of a foreign jurisdiction or an American Indian tribe are recognized as married for federal tax purposes if the relationship would be recognized as marriage under the laws of at least one state or territory of the United States, regardless of legal residence.",,,,,,,,,,,,
What is the tax status of registered domestic partnerships and civil unions?,"Individuals who have entered into a registered domestic partnership, civil union, or other similar relationship that isn't denominated as a marriage under the law of the state or territory of the United States where such relationship was entered into aren't lawfully married for federal tax purposes, regardless of legal residence.",,,,,,,,,,,,
How are qualified differential wage payments to military personnel treated for tax purposes?,"Qualified differential wage payments made by employers to individuals serving in the U.S. Armed Forces are subject to income tax withholding but not social security, Medicare, or FUTA tax.",,,,,,,,,,,,
What is required before an employer can file Form 944 instead of quarterly Forms 941?,"Employers must receive written notice from the IRS before they can file Form 944 instead of quarterly Forms 941. Even if employers believe their employment taxes will be $1,000 or less for the calendar year, they must contact the IRS during the first calendar quarter of the tax year to request this change and wait for written approval.",,,,,,,,,,,,
When must an employer contact the IRS if they want to switch from quarterly Forms 941 to annual Form 944?,An employer must contact the IRS during the first calendar quarter of the tax year if they want to switch from filing quarterly Forms 941 to filing an annual Form 944. This timing is required for the request to be considered for that tax year.,,,,,,,,,,,,
What process must employers follow if they received notice to file Form 944 but prefer to file quarterly Forms 941?,Employers who received notice to file Form 944 but prefer to file quarterly Forms 941 must contact the IRS during the first calendar quarter of the tax year to request this change. They must receive written notice from the IRS approving their request to file quarterly Forms 941 instead of Form 944 before making the switch.,,,,,,,,,,,,
"How do you correct errors on a previously filed Form 941, Form 943, or Form 944?","To correct errors on previously filed forms, you must use the corresponding correction form: Form 941-X for errors on Form 941, Form 943-X for errors on Form 943, and Form 944-X for errors on Form 944. These correction forms are filed separately from the original forms and are used by employers to claim refunds or abatements of employment taxes rather than using Form 843.",,,,,,,,,,,,
Under what circumstances can an employer file quarterly Forms 941 instead of Form 944?,"An employer can file quarterly Forms 941 instead of Form 944 only after receiving written notice from the IRS specifically authorizing them to do so. Without this written authorization, employers must continue to file Form 944 as required.",,,,,,,,,,,,
What must employers do if they have no wages to report for a period?,"Employers must continue to file returns even when they have no wages to report (zero wage return), unless they have filed a ""final"" Form 940 and ""final"" Form 941, Form 943, or Form 944, or are classified as a ""seasonal"" employer (Form 941 only).",,,,,,,,,,,,
What is required for filing employment tax forms when no wages are paid?,"Even during periods when no wages are paid, employers must continue to file Form 940 and Forms 941, Form 943, or Form 944, unless they have filed a ""final"" form or are ""seasonal"" employers (Form 941 only). The IRS encourages electronic filing of these ""zero wage"" forms.",,,,,,,,,,,,
How must federal tax deposits be made according to the text?,"Federal tax deposits must be made by electronic funds transfer (EFT). Generally, this is done using the Electronic Federal Tax Payment System (EFTPS), which is a free service provided by the Department of the Treasury.",,,,,,,,,,,,
What alternatives are available if an employer doesn't want to use EFTPS directly?,"If employers don't want to use EFTPS directly, they can arrange for a tax professional, financial institution, payroll service, or other trusted third party to make electronic deposits on their behalf. They can also arrange for their financial institution to initiate a same-day wire payment.",,,,,,,,,,,,
What is EFTPS and who provides it?,EFTPS (Electronic Federal Tax Payment System) is a free service provided by the Department of the Treasury for making federal tax deposits.,,,,,,,,,,,,
How can someone get more information about EFTPS or enroll in the system?,"To get more information about EFTPS or to enroll, individuals can visit EFTPS.gov or call 800-555-4477, 800-244-4829 (Spanish), or 303-967-5916 (toll call). Additional information is also available in Publication 966.",,,,,,,,,,,,
What tax requirements apply to residents of the Philippines working in the Commonwealth of the Northern Mariana Islands (CNMI)?,"Employers must withhold and pay social security and Medicare taxes on wages and other compensation paid to residents of the Philippines who don't hold an H-2 status for services performed as employees in the CNMI, unless those workers are eligible for exemption from social security.",,,,,,,,,,,,
What agreement was established between the U.S. Treasury Department and the CNMI Division of Revenue and Taxation?,"In December 2006, the U.S. Treasury Department and the CNMI Division of Revenue and Taxation entered into an agreement under 5 U.S.C. section 5517, which requires all federal employers to withhold CNMI income taxes rather than federal income taxes for employees subject to CNMI taxes whose regular place of federal employment is in the CNMI.",,,,,,,,,,,,
What are federal employers required to do regarding CNMI taxes?,"Federal employers are required to withhold CNMI income taxes, deposit these taxes with the CNMI Treasury, file quarterly and annual reports with the CNMI Division of Revenue and Taxation, and complete Form W-2 according to specific guidelines that can be found at IRS.gov/5517Agreements.",,,,,,,,,,,,
What is the purpose of Publication 5146?,"Publication 5146 explains employment tax examinations and appeal rights, providing employers with information on how these processes work.",,,,,,,,,,,,
What does Publication 5146 explain about employment tax examinations?,"Publication 5146 explains how the IRS selects employment tax returns for examination, what happens during an exam, and what options employers have in responding to exam results, including appeal rights. It also includes information on worker classification issues and tip exams.",,,,,,,,,,,,
What electronic filing and payment options are available to businesses?,"Businesses can file electronically using e-file (IRS.gov/EmploymentEfile) and make payments through EFTPS (Electronic Federal Tax Payment System) at EFTPS.gov or by calling EFTPS Customer Service at various numbers including 800-555-4477, 800-244-4829 (Spanish), or 303-967-5916.",,,,,,,,,,,,
How can people with hearing or speech disabilities contact EFTPS?,"People who are deaf, hard of hearing, or have a speech disability can contact EFTPS using TRS (Telecommunications Relay Service) by dialing 711 and then providing the TRS assistant the 800-555-4477 number or 800-733-4829.",,,,,,,,,,,,
How can employers electronically file Forms W-2?,"Employers can electronically file Forms W-2, Wage and Tax Statement, including Forms W-2AS, W-2CM, W-2GU, W-2VI, and Forms 499R-2/W-2PR by going to SSA.gov/employer. Some employers may be required to file these forms electronically.",,,,,,,,,,,,
Who should employers contact if they experience problems with electronic filing?,"If employers experience problems filing electronically, they should contact the Social Security Administration (SSA) at 800-772-6270. They can also speak with the SSA's Regional Employer Services Liaison Officer by visiting SSA.gov/employer/wage_reporting_specialists.htm.",,,,,,,,,,,,
Where can employers in the CNMI get instructions for completing Form W-2CM?,Employers in the CNMI should contact their local tax department for instructions on completing Form W-2CM. They can get Form W-2CM and its instructions by going to Finance.gov.mp/forms.php or by calling 670-664-1000.,,,,,,,,,,,,
What happens if a valid EIN is not provided when filing a return or making a payment?,"If a valid EIN isn't provided, the return or payment won't be processed, which may result in penalties.",,,,,,,,,,,,
What is the Electronic Funds Withdrawal (EFW) method used for in tax payments?,"EFW can be used to pay the balance due on an employment tax return in a single step when e-filing using tax preparation software or through a tax professional. However, it should not be used to make federal tax deposits.",,,,,,,,,,,,
How can taxpayers pay the balance due on their employment tax returns using credit or debit cards?,"Taxpayers can pay the balance due shown on their employment tax return by credit or debit card, but a processing fee will be charged by a payment processor. Credit or debit cards should not be used to make federal tax deposits.",,,,,,,,,,,,
How can employers pay their taxes using electronic methods?,Employers can pay their taxes with a credit or debit card by visiting IRS.gov/PayByCard. They may also be eligible to apply for an online payment agreement (installment agreement) if they cannot pay the full amount of tax owed when filing their employment tax return. More information about this option is available in the instructions for employment tax returns or at IRS.gov/OPA.,,,,,,,,,,,,
What Spanish-language tax forms are available for employers and employees?,"Many forms and instructions have Spanish-language versions available, including Form 941(sp), Form 944(sp), Form SS-4(sp), Form W-4(sp), and Form W-9(sp). Employers can refer to Pub. 15(sp) or visit IRS.gov/SpanishForms to determine if a Spanish-language version of a specific form is available.",,,,,,,,,,,,
What must employers do to verify a new employee's eligibility to work?,"Employers must verify that each new employee is legally eligible to work in the United States, including American Samoa, Guam, the CNMI, the U.S. Virgin Islands (USVI), and Puerto Rico. This verification process includes completing the U.S. Citizenship and Immigration Services (USCIS) Form I-9, Employment.",,,,,,,,,,,,
What form must employers complete to verify employment eligibility in the US?,"Employers must complete the U.S. Citizenship and Immigration Services (USCIS) Form I-9, Employment Eligibility Verification. This form can be obtained at USCIS.gov/Forms.",,,,,,,,,,,,
What is the requirement regarding new hire reporting in the United States?,Employers are required to report any new employee to a designated state new hire registry. This applies to all 50 states and most territories. A new employee is defined as someone who hasn't previously been employed by you or was previously employed but has been separated from prior employment for at least 60 consecutive days.,,,,,,,,,,,,
What online systems can employers use to verify employee information?,Employers can use the Social Security Number Verification Service (SSNVS) at SSA.gov/employer/ssnv.htm to verify that an employee name matches a Social Security Number. They can also use E-Verify at E-Verify.gov to confirm the employment eligibility of newly hired employees.,,,,,,,,,,,,
What are employers required to do regarding new hire reporting?,"Employers must report newly hired employees to their state directory of new hires, and they can find more information about this at the Office of Child Support Enforcement website (acf.hhs.gov/programs/css/employers). Employers in American Samoa, Guam, the CNMI, the USVI, and Puerto Rico should contact their local government for information on their new hire registry.",,,,,,,,,,,,
What documentation should employers request from new employees regarding their identification?,"Employers should ask each new employee to complete the 2025 Form W-4 and record each new employee's name and Social Security Number (SSN) from their social security card if available. If an employee can't provide their social security card, employers should verify their SSN and eligibility for employment. Any employee without a social security card should apply for one.",,,,,,,,,,,,
What information returns must employers file regarding payments to employees and non-employees?,"Employers must file Forms W-2 to report wages paid to employees. They may also be required to file information returns for certain types of payments made during the year, such as Form 1099-NEC for payments of $600 or more to persons not treated as employees (like independent contractors) for services performed for their trade or business.",,,,,,,,,,,,
What forms are used to report payments to independent contractors?,Forms 1099 are used to report payments to persons not treated as employees (such as independent contractors) for services performed for your trade or business.,,,,,,,,,,,,
What is the purpose of the Technical Services Operation (TSO)?,"The IRS operates the Technical Services Operation (TSO) to answer questions about reporting on Forms W-2, W-3, and 1099, and other information returns.",,,,,,,,,,,,
How can someone contact the Technical Services Operation?,"The Technical Services Operation can be contacted by calling 866-455-7438 (toll free) or 304-263-8700 (toll call), or by email at mccirp@irs.gov. However, taxpayer identification numbers (TINs) or attachments should not be included in email because it isn't secure.",,,,,,,,,,,,
When must farm operators withhold federal income tax from farmworkers' wages?,Farm operators and crew leaders must withhold federal income tax from the wages of farmworkers if the wages are subject to social security and Medicare taxes.,,,,,,,,,,,,
Which U.S. territories are exempt from federal income tax withholding requirements?,"Federal income tax withholding requirements don't apply to employers in American Samoa, Guam, the CNMI (Commonwealth of Northern Mariana Islands), the USVI (U.S. Virgin Islands), and Puerto Rico, unless they have employees who are subject to U.S. income tax withholding.",,,,,,,,,,,,
What document determines how much federal income tax should be withheld from an employee's wages?,Federal income tax should be withheld from each wage payment according to the employee's Form W-4 and the correct withholding table in Publication 15-T.,,,,,,,,,,,,
What types of income are considered nonpayroll income tax withholding?,"Nonpayroll income tax withholding includes pensions (including distributions from tax-favored retirement plans like section 401(k), 403(b), and governmental 457(b) plans), annuities, IRA distributions, military retirement, gambling winnings, Indian gaming profits, certain government payments with voluntary withholding, dividends and distributions by an ANC with voluntary withholding, and payments subject to backup withholding.",,,,,,,,,,,,
Which form is used to report nonpayroll federal income tax withholding?,"Nonpayroll federal income tax withholding (reported on Forms 1099 and Form W-2G) must be reported on Form 945, Annual Return of Withheld Federal Income Tax.",,,,,,,,,,,,
How are distributions from nonqualified pension plans and deferred compensation plans treated for tax purposes?,Distributions to participants from some nonqualified pension plans and deferred compensation plans (including section 457(b) plans of tax-exempt organizations) are treated as wages and are reported on Form W-2.,,,,,,,,,,,,
How are distributions from deferred compensation plans to beneficiaries of deceased employees reported and taxed?,"Distributions from deferred compensation plans to a beneficiary or estate of a deceased employee aren't considered wages and are reported on Forms 1099-R (Distributions From Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contracts, etc.). Any income tax withheld from these distributions must be reported on Form 945, not Forms 941, 943, or 944.",,,,,,,,,,,,
What is the backup withholding rate and when is it required?,The backup withholding rate is 24% of certain taxable payments. Backup withholding is generally required when a payee fails to furnish their correct Taxpayer Identification Number (TIN) to the payer.,,,,,,,,,,,,
What types of payments are subject to backup withholding?,"Payments subject to backup withholding include interest, dividends, patronage dividends, rents, royalties, commissions, nonemployee compensation, payments made in settlement of payment card or third-party network transactions, and certain other payments made in the course of trade or business. Additionally, transactions by brokers and barter exchanges and certain payments made by fishing boat operators are subject to backup withholding.",,,,,,,,,,,,
What are the new employee verification responsibilities of an employer?,"Employers must verify work eligibility of new employees, record employees' names and Social Security Numbers (SSNs) from their social security cards, and ask employees to complete Form W-4.",,,,,,,,,,,,
What taxes must employers withhold from employees' paychecks?,Employers must withhold federal income tax based on each employee's Form W-4 and withhold the employee's share of social security and Medicare taxes.,,,,,,,,,,,,
What annual responsibilities do employers have regarding tax forms?,"Annually, employers must file Form 943 if required (paying tax with the return if not required to deposit), file Form 944 if required, remind employees to submit a new Form W-4 if they need to change their withholding, ask for a new Form W-4 from employees claiming exemption from income tax withholding, and reconcile Forms 941 (or Form 943 or Form 944) with Forms W-2 and W-3.",,,,,,,,,,,,
What are the due dates for filing Forms W-2 and W-3?,"According to the text, employers must furnish each employee a Form W-2 by the 10th, and file Copy A of Forms W-2 and the transmittal Form W-3 with the SSA also by the 10th.",,,,,,,,,,,,
How often must employers deposit FUTA tax?,"According to the text, employers must deposit FUTA tax quarterly (by April 30, July 31, October 31, and January 31) if the undeposited amount is over $500.",,,,,,,,,,,,
What types of taxes must be included in Forms 941 (or Form 943 or Form 944) with Deposit?,"Forms 941 (or Form 943 or Form 944) with Deposit must include withheld income tax, withheld and employer social security taxes, and withheld and employer Medicare taxes.",,,,,,,,,,,,
What types of payments are exempt from backup withholding?,"Backup withholding doesn't apply to wages, pensions, annuities, IRAs (including simplified employee pension (SEP) and SIMPLE retirement plans), section 404(k) distributions from an employee stock ownership plan (ESOP), medical savings accounts (MSAs), health savings accounts (HSAs), long-term-care benefits, or real estate transactions.",,,,,,,,,,,,
How long must employment tax records be kept and what information should they include?,"Employment tax records must be kept for at least 4 years and should be available for IRS review. These records should include your EIN, amounts and dates of all wage, annuity, and pension payments, amounts of tips reported by employees, records of allocated tips, the fair market value of in-kind wages paid, and names, addresses, SSNs, and occupations of employees and recipients.",,,,,,,,,,,,
What is Form W-9 used for regarding backup withholding?,"Form W-9 is used to request payees to furnish a TIN (Taxpayer Identification Number). It must be used when payees need to certify that the number furnished is correct, or when payees must certify that they're not subject to backup withholding or are exempt from backup withholding.",,,,,,,,,,,,
What types of records must employers keep regarding employee compensation?,"Employers must keep records of allocated tips, fair market value (FMV) of in-kind wages paid, employee information (names, addresses, SSNs, occupations), undeliverable W-2 forms, dates of employment, periods of paid absence due to sickness or injury (including amounts and weekly rates), income tax withholding certificates, tax deposit information, copies of filed returns, records of fringe benefits and expense reimbursements, and documentation for any claimed credits.",,,,,,,,,,,,
How long should records related to COVID-19 relief measures be retained?,"Records related to qualified sick leave wages and qualified family leave wages for leave taken after March 31, 2021, and before October 1, 2021, as well as records related to qualified wages for the employee retention credit paid after June 30, 2021, should be kept for at least 6 years.",,,,,,,,,,,,
What tax deposit information must employers maintain in their records?,"Employers must maintain records of the dates and amounts of tax deposits they made, along with the acknowledgment numbers for deposits made through the Electronic Federal Tax Payment System (EFTPS). They should also keep copies of filed returns and confirmation numbers.",,,,,,,,,,,,
What documents should employers keep for tax substantiation requirements related to PLC and ERC?,"According to the text, employers should maintain documentation to substantiate the amount of any employer or employee share of social security tax that was deferred and paid for 2020. The text directs readers to IRS.gov/PLC and IRS.gov/ERC for more information about substantiation requirements.",,,,,,,,,,,,
What information must be kept if a crew leader furnished farmworkers?,"If a crew leader furnished farmworkers, employers must keep a record of the name, permanent mailing address, and EIN (Employer Identification Number) of the crew leader. If the crew leader has no permanent mailing address, the employer should record their present address.",,,,,,,,,,,,
