question,answer,input_tokens,output_tokens,total_tokens,response_time_seconds,p99_processing_time,p95_processing_time,avg_processing_time,page_count,avg_time_per_page,p99_time_per_page,p95_time_per_page,tokens_per_page
Where can federal employers find more information on completing Form W-2 for employees in the CNMI?,Federal employers can find more information on completing Form W-2 for employees in the CNMI at IRS.gov/5517Agreements.,,,,,,,,,,,,
What publication explains employment tax examinations and appeal rights for employers?,Publication 5146 explains employment tax examinations and appeal rights for employers.,,,,,,,,,,,,
What information does Publication 5146 provide to employers?,"Publication 5146 explains employment tax examinations and appeal rights, including how the IRS selects employment tax returns for examination, what happens during an exam, options for responding to exam results, and how to appeal those results. It also includes information on worker classification issues and tip exams.",,,,,,,,,,,,
What are the benefits of filing and paying federal taxes electronically for businesses?,"Filing and paying federal taxes electronically offers businesses convenience, security, and time savings, allowing them to focus more on running their business.",,,,,,,,,,,,
Where can businesses find resources for electronic filing and payment of taxes?,"For e-filing, businesses can visit IRS.gov/EmploymentEfile. For EFTPS, they can go to EFTPS.gov or call EFTPS Customer Service at 800-555-4477, 800-244-4829 (Spanish), or 303-967-5916. People using TRS can dial 711 and provide the assistant with the appropriate EFTPS number.",,,,,,,,,,,,
What number should individuals with disabilities dial to contact a TRS assistant for assistance with the provided numbers?,Individuals with disabilities should dial 711 and then provide the TRS assistant with the 800-555-4477 or 800-733-4829 number.,,,,,,,,,,,,
"Where can employers go to electronically file Forms W-2, including specific variations like W-2AS and W-2CM?","Employers can electronically file Forms W-2, including W-2AS and W-2CM, at SSA.gov/employer.",,,,,,,,,,,,
What should employers in the CNMI do to get instructions or the form for W-2CM?,Employers in the CNMI should contact their local tax department or visit Finance.gov.mp/forms.php to get Form W-2CM and its instructions. They can also call 670-664-1000 for assistance.,,,,,,,,,,,,
What happens if a valid EIN is not provided when filing a return or making a payment?,"If a valid EIN isn't provided, the return or payment won't be processed, which may result in penalties.",,,,,,,,,,,,
Can you use Electronic Funds Withdrawal (EFW) to make federal tax deposits?,"No, EFW should not be used to make federal tax deposits.",,,,,,,,,,,,
What is required when making a payment by credit or debit card for employment taxes?,"When making a payment by credit or debit card, the payment will be processed by a payment processor who will charge a processing fee. However, credit or debit cards should not be used to make federal tax deposits.",,,,,,,,,,,,
Where can you find information about paying taxes with a credit or debit card?,You can find information about paying taxes with a credit or debit card at IRS.gov/PayByCard.,,,,,,,,,,,,
What should employers do to verify a new employee's eligibility for employment in the United States?,Employers must verify that each new employee is legally eligible to work in the United States by completing the U.S. Citizenship and Immigration Services (USCIS) Form I-9.,,,,,,,,,,,,
Where can employers access Spanish-language versions of IRS forms and instructions?,Employers can access Spanish-language versions of IRS forms and instructions by referring to Pub. 15 (sp) and visiting IRS.gov/SpanishForms.,,,,,,,,,,,,
"What form is used to verify employment eligibility in the U.S., and where can it be obtained?","Form I-9, Employment Eligibility Verification, is used to verify employment eligibility in the U.S. It can be obtained at USCIS.gov/Forms.",,,,,,,,,,,,
How can employers verify if an employee's name matches their Social Security Number (SSN)?,Employers can use the Social Security Number Verification Service (SSNVS) at SSA.gov/employer/ssnv.htm to verify if an employee's name matches their SSN.,,,,,,,,,,,,
"What is required for new hire reporting, and where can more information be found?",Employers are required to report any new employee to a designated state new hire registry. A new employee is someone who hasn't been previously employed or has been separated from prior employment for at least 60 consecutive days. More information can be found at the Office of Child Support Enforcement website at acf.hhs.gov/programs/css/employers.,,,,,,,,,,,,
Where can employers find more information about child support enforcement and new hire registry requirements?,"Employers can visit the Office of Child Support Enforcement website at acf.hhs.gov/programs/css/employers for more information. Employers in American Samoa, Guam, the CNMI, the USVI, and Puerto Rico should contact their local government for information on their new hire registry.",,,,,,,,,,,,
What should employers do if a new employee cannot provide a Social Security card?,"If a new employee cannot provide a Social Security card, employers should verify the employee's SSN and their eligibility for employment as discussed under ""Verification of SSNs"" in section 4. Employees without a Social Security card should apply for one.",,,,,,,,,,,,
What forms must employers file to report wages and nonemployee compensation?,"Employers must file Forms W-2 to report wages paid to employees. They may also need to file Form 1099-NEC to report payments of $600 or more to nonemployees, such as independent contractors, for services performed for their trade or business.",,,,,,,,,,,,
What forms should be used to report wages and compensation paid to employees?,Wages and other compensation paid to employees should be reported on Form W-2.,,,,,,,,,,,,
Where can you find details about filing Forms 1099 and required electronic filing?,"Details about filing Forms 1099 and required electronic filing can be found in the General Instructions for Certain Information Returns and the specific instructions for each information return, such as the Instructions for Forms 1099-MISC and 1099-NEC.",,,,,,,,,,,,
How can questions related to reporting on information returns be addressed?,"Questions related to reporting on information returns can be addressed by contacting the IRS's Technical Services Operation (TSO) at 866-455-7438 (toll-free) or 304-263-8700 (toll call), or by emailing mccirp@irs.gov, though taxpayer identification numbers (TINs) or attachments should not be included in the email due to security concerns.",,,,,,,,,,,,
Which employers are exempt from federal income tax withholding requirements?,"Employers in American Samoa, Guam, the CNMI, the USVI, and Puerto Rico are exempt from federal income tax withholding requirements unless they have employees who are subject to U.S. income tax withholding.",,,,,,,,,,,,
What must farm operators and crew leaders do regarding federal income tax withholding?,Farm operators and crew leaders must withhold federal income tax from the wages of farmworkers if the wages are subject to social security and Medicare taxes,,,,,,,,,,,,
What form is used to report nonpayroll federal income tax withholding?,"Nonpayroll federal income tax withholding must be reported on Form 945, Annual Return of Withheld Federal Income Tax.",,,,,,,,,,,,
What types of income are considered nonpayroll items for tax withholding purposes?,"Nonpayroll items include pensions (including distributions from tax-favored retirement plans like section 401(k), section 403(b), and governmental section 457(b) plans), annuities, IRA distributions, military retirement, gambling winnings, Indian gaming profits, certain government payments with voluntary income tax withholding, dividends and other distributions by an ANC with voluntary income tax withholding, and payments subject to backup withholding.",,,,,,,,,,,,
Are separate deposits required for payroll and nonpayroll withholding?,"Yes, separate deposits are required for payroll withholding (reported on Form 941, Form 943, or Form 944) and nonpayroll withholding (reported on Form 945).",,,,,,,,,,,,
"How are deferred compensation plans, including section 457(b) plans of tax-exempt organizations, treated for tax reporting purposes?","Deferred compensation plans, including section 457(b) plans of tax-exempt organizations, are treated as wages and reported on Form W-2. Income tax withheld must be reported on Form 941, Form 943, or Form 944, not on Form 945.",,,,,,,,,,,,
How should distributions from deferred compensation plans to a beneficiary or estate of a deceased employee be reported?,Distributions from such plans to a beneficiary or estate of a deceased employee are not treated as wages and are reported on Forms 1099-R. Income tax withheld on these distributions must be reported on Form 945.,,,,,,,,,,,,
"What is backup withholding, and when is it required?","Backup withholding is the mandatory withholding of 24% of certain taxable payments if the payee fails to provide their correct TIN. It applies to payments such as interest, dividends, rents, royalties, commissions, nonemployee compensation, settlement payments, broker transactions, barter exchanges, and certain payments by fishing boat operators.",,,,,,,,,,,,
What are an employer's responsibilities regarding new employees?,"Employers must verify the work eligibility of new employees, record employees' names and Social Security Numbers (SSNs) from their Social Security cards, and ask employees to complete Form W-4.",,,,,,,,,,,,
What should employers do each payday concerning taxes?,"Employers must withhold federal income tax based on each employee's Form W-4, withhold the employee's share of Social Security and Medicare taxes, and ensure they ask for a new Form W-4 from employees claiming exemption from income tax withholding if needed.",,,,,,,,,,,,
What are some annual responsibilities for employers related to tax reporting?,"Employers must file Form 943 or Form 944 if required, pay taxes with the return if not required to deposit, and reconcile Forms 941 (or Form 943 or Form 944) with Forms W-2 and W-3.",,,,,,,,,,,,
"What forms must be filed with the SSA, and when?",File Copy A of Forms W-2 and the transmittal Form W-3 with the SSA. The due date generally depends on your deposit schedule (monthly or semiweekly).,,,,,,,,,,,,
"What is the threshold for depositing FUTA tax, and when must it be deposited?",FUTA tax must be deposited if the undeposited amount is over $500.,,,,,,,,,,,,
What types of income are not subject to backup withholding?,"Backup withholding does not apply to wages, pensions, annuities, IRAs (including SEP and SIMPLE retirement plans).",,,,,,,,,,,,
What types of payments or transactions are not subject to backup withholding?,"Backup withholding does not apply to wages, pensions, annuities, IRAs (including SEP and SIMPLE retirement plans), section 404(k) distributions from an ESOP, medical savings accounts (MSAs), health savings accounts (HSAs), long-term-care benefits, or real estate transactions.",,,,,,,,,,,,
What is Form W-9 used for?,"Form W-9 is used to request payees to furnish a TIN, certify that the number furnished is correct, or certify that they are not subject to backup withholding or are exempt from backup withholding.",,,,,,,,,,,,
"How long should employment tax records be kept, and what information should they include?","Employment tax records should be kept for at least 4 years and should include the EIN, amounts and dates of all wage, annuity, and pension payments, amounts of tips reported by employees, records of allocated tips, the FMV of in-kind wages paid, and the names, addresses, SSNs, and occupations of employees and recipients.",,,,,,,,,,,,
What records related to employee payments and tax documents should employers keep?,"Employers should keep records of allocated tips, the fair market value of in-kind wages paid, names, addresses, SSNs, occupations of employees and recipients, employee copies of Forms W-2 and W-2c returned as undeliverable, dates of employment, copies of income tax withholding certificates (Forms W-4, W-4P, W-4R, W-4S, W-4V), and records of tax deposits with acknowledgment numbers for EFTPS deposits.",,,,,,,,,,,,
How long should records related to qualified sick leave wages and employee retention credits be kept?,"Records related to qualified sick leave wages and qualified family leave wages for leave taken after March 31, 2021, and before October 1, 2021, as well as records related to qualified wages for the employee retention credit paid after June 30, 2021, should be kept for at least 6 years.",,,,,,,,,,,,
What types of documentation are required to substantiate claims and benefits for employees?,"Employers should maintain documentation to substantiate credits claimed, fringe benefits and expense reimbursements provided to employees (including substantiation), records of payments made to employees during absences due to sickness or injury, and confirmation numbers for returns filed.",,,,,,,,,,,,
What documentation is required to substantiate the amount of deferred and paid social security tax for 2020?,Documentation is required to substantiate the amount of any employer or employee share of social security tax that was deferred and paid for 2020.,,,,,,,,,,,,
What steps should be taken if a business changes its name?,"If a business changes its name, the IRS must be notified immediately. The business should write to the IRS office where it files returns, using the ""Without a payment"" address provided in the instructions for its employment tax return. Pub. 1635 should also be consulted to determine if a new EIN is needed.",,,,,,,,,,,,
How should a business notify the IRS of a change in address or responsible party?,"To notify the IRS of a change in business address or responsible party, the business must complete and mail Form 8822-B. For the definition of ""responsible party,"" the Instructions for Form SS-4 should be consulted.",,,,,,,,,,,,
"How is the filing address for Forms 940, 941, 943, 944, 945, or CT-1 determined?",The filing address for these forms depends on the location of your residence or principal place of business and whether or not you are including a payment with your return.,,,,,,,,,,,,
Where can you find information about using Private Delivery Services (PDSs) for tax returns?,"You can find information about using PDSs, including the current list of approved services, at IRS.gov/PDS.",,,,,,,,,,,,
How can you determine the correct IRS mailing address when using a Private Delivery Service (PDS)?,"To determine the correct IRS mailing address when using a PDS, visit IRS.gov/PDSstreetAddresses and select the address listed for the state to which you would normally mail your returns.",,,,,,,,,,,,
What happens if a payment to the IRS is dishonored?,"If a payment to the IRS is dishonored, it is subject to a penalty of $25 or 2% of the payment, whichever is more. For dishonored payments of $24.99 or less, the penalty is equal to the payment amount.",,,,,,,,,,,,
What is the purpose of the IRS's E-News for Payroll Professionals subscription service?,"The IRS's E-News for Payroll Professionals subscription service provides periodic updates on recent legislative changes affecting federal payroll reporting, IRS news releases, special announcements related to the payroll industry, new employment tax procedures, and other information affecting federal payroll tax returns.",,,,,,,,,,,,
Can you use a private delivery service (PDS) to send items to an IRS P.O. box?,"No, private delivery services (PDSs) cannot deliver items to an IRS P.O. box. You must use the U.S. Postal Service to mail items to an IRS P.O. box address.",,,,,,,,,,,,
Where can you subscribe to IRS e-news for federal payroll tax updates?,You can subscribe at IRS.gov/Newsroom/E-News-Subscriptions.,,,,,,,,,,,,
What is the contact number for employment tax questions for individuals with disabilities?,People with disabilities can call 800-829-4059 (TDD/TTY) for assistance with employment tax questions and unresolved tax problems.,,,,,,,,,,,,
"How can you obtain employer tax forms, instructions, and publications?","You can view, download, or print them at IRS.gov/Forms, or place an order to have them mailed to you at IRS.gov/OrderForms.",,,,,,,,,,,,
"Where can employers file Forms W-2 and W-3 electronically, and what are the benefits of doing so?","Employers can file Forms W-2 and W-3 electronically using the SSA's free e-file service available at SSA.gov/employer. Benefits include the ability to create Forms W-2 online by entering wage information into fill-in fields, submitting them electronically to the SSA, printing completed copies for state/local government filing and employee distribution, and automatically generating Form W-3 based on the completed Forms W-2.",,,,,,,,,,,,
What is the difference between the SSA's Business Services Online (BSO) and Puerto Rico's filing system for employers?,The SSA's BSO is an independent program from the Government of Puerto Rico's electronic filing system. Employers in Puerto Rico must visit Hacienda.pr.gov for additional information about their specific filing requirements.,,,,,,,,,,,,
How does the IRS support efforts to help find missing children?,The IRS partners with the National Center for Missing & Exploited Children® (NCMEC). Photographs of missing children selected by the Center may appear in IRS publications on blank pages to help raise awareness and assist in bringing these children home.,,,,,,,,,,,,
What should you do if you recognize a child from the photographs in the publication?,"If you recognize a child from the photographs, you should call 1-800-THE-LOST (1-800-843-5678) to help bring the child home.",,,,,,,,,,,,
"Where can you find adjusted dates for Saturdays, Sundays, and legal holidays for tax-related responsibilities?","Adjusted dates for Saturdays, Sundays, and legal holidays can be found in Pub. 509, Tax Calendars (for use in 2025).",,,,,,,,,,,,
"What happens if a filing or tax deposit due date falls on a Saturday, Sunday, or legal holiday?","If a due date falls on a Saturday, Sunday, or legal holiday, the due date is moved to the next business day.",,,,,,,,,,,,
